Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Gross Profit
Combination de Dos,11.0,0.0,113.45,0.0,-0.0,113.45,14.96,10.31,0.0,1,0,113.45
Combination de Dos,1.0,0.0,9.95,0.0,-0.0,9.95,8.17,9.95,0.0,2,0,9.95
Combination de Dos,6.0,0.0,59.7,0.0,-0.0,59.7,5.57,9.95,0.0,1,0,59.7
Combination de Dos,10.0,0.0,109.5,0.0,-0.0,109.5,10.41,10.95,0.0,1,0,109.5
Combination de Dos,3.0,0.0,29.85,0.0,-0.0,29.85,5.49,9.95,0.0,0,0,29.85
Combination de Dos,4.0,0.0,41.8,0.0,-0.0,41.8,1.68,10.45,0.0,3,0,41.8
Combination de Dos,6.0,0.0,61.7,0.0,-0.0,61.7,21.06,10.28,0.0,2,0,61.7
Combination de Dos,5.0,0.0,51.75,0.0,-0.0,51.75,5.96,10.35,0.0,3,0,51.75
Combination de Dos,3.0,0.0,33.85,0.0,-0.0,33.85,2.91,11.28,0.0,4,0,33.85
Combination de Dos,2.0,0.0,19.9,0.0,-0.0,19.9,0.8,9.95,0.0,3,0,19.9
Combination de Dos,9.0,0.0,95.55,0.0,-0.0,95.55,5.11,10.62,0.0,4,0,95.55
Combination de Dos,6.0,0.0,69.7,-9.95,-0.0,59.75,2.6,9.96,0.0,6,0,59.75
Combination de Dos,8.0,0.0,81.6,0.0,-0.0,81.6,11.65,10.2,0.0,0,0,81.6
Combination de Dos,3.0,0.0,29.85,0.0,-0.0,29.85,4.27,9.95,0.0,1,0,29.85
Combination de Dos,10.0,0.0,101.5,-6.74,-0.0,94.76,2.75,9.48,0.0,6,0,94.76
Combination de Dos,5.0,0.0,53.75,0.0,-0.0,53.75,7.61,10.75,0.0,0,0,53.75
Combination de Dos,4.0,0.0,43.8,0.0,-0.0,43.8,1.56,10.95,0.0,3,0,43.8
Combination de Dos,6.0,0.0,61.7,0.0,-0.0,61.7,7.31,10.28,0.0,2,0,61.7
Combination de Dos,4.0,0.0,39.8,0.0,-0.0,39.8,0.74,9.95,0.0,2,0,39.8
Combination de Dos,7.0,0.0,71.65,0.0,-0.0,71.65,14.8,10.24,0.0,1,0,71.65
Combination de Dos,8.0,0.0,83.6,0.0,-0.0,83.6,3.96,10.45,0.0,4,0,83.6
Combination de Dos,6.0,0.0,59.7,0.0,-0.0,59.7,7.61,9.95,0.0,5,1,59.7
Combination de Dos,4.0,0.0,39.8,0.0,-0.0,39.8,7.5,9.95,0.0,2,0,39.8
Combination de Dos,3.0,0.0,31.85,0.0,-0.0,31.85,4.02,10.62,0.0,3,0,31.85
Combination de Dos,11.0,0.0,115.45,0.0,-0.0,115.45,4.01,10.5,0.0,6,0,115.45
Combination de Dos,6.0,0.0,59.7,0.0,-0.0,59.7,3.29,9.95,0.0,5,1,59.7
Combination de Dos,9.0,0.0,93.55,0.0,-0.0,93.55,2.68,10.39,0.0,6,0,93.55
Combination de Dos,12.0,0.0,121.4,-0.99,-0.0,120.41,6.75,10.03,0.0,5,1,120.41
Combination de Dos,8.0,0.0,83.6,0.0,-0.0,83.6,5.47,10.45,0.0,5,1,83.6
Combination de Dos,5.0,0.0,51.75,0.0,-0.0,51.75,4.22,10.35,0.0,4,0,51.75
Combination de Dos,2.0,0.0,19.9,0.0,-0.0,19.9,5.77,9.95,0.0,3,0,19.9
Combination de Dos,3.0,0.0,29.85,0.0,-0.0,29.85,7.28,9.95,0.0,2,0,29.85
Combination de Dos,13.0,0.0,131.35,0.0,-0.0,131.35,2.36,10.1,0.0,1,0,131.35
Combination de Dos,9.0,0.0,93.55,-19.9,-0.0,73.65,10.68,8.18,0.0,0,0,73.65
Combination de Dos,5.0,0.0,49.75,0.0,-0.0,49.75,6.55,9.95,0.0,3,0,49.75
Combination de Dos,8.0,0.0,79.6,0.0,-0.0,79.6,6.71,9.95,0.0,4,0,79.6
Combination de Dos,6.0,0.0,59.7,0.0,-0.0,59.7,5.06,9.95,0.0,4,0,59.7
Combination de Dos,7.0,0.0,69.65,0.0,-0.0,69.65,9.93,9.95,0.0,2,0,69.65
Combination de Dos,4.0,0.0,43.8,0.0,-0.0,43.8,4.84,10.95,0.0,3,0,43.8
Combination de Dos,6.0,0.0,59.7,0.0,-0.0,59.7,3.05,9.95,0.0,6,0,59.7
Combination de Dos,16.0,0.0,161.2,-0.99,-0.0,160.21,7.15,10.01,0.0,5,1,160.21
Combination de Dos,5.0,0.0,51.75,0.0,-0.0,51.75,3.44,10.35,0.0,5,1,51.75
Combination de Dos,9.0,0.0,91.55,0.0,-0.0,91.55,3.7,10.17,0.0,4,0,91.55
Combination de Dos,4.0,0.0,41.8,0.0,-0.0,41.8,7.86,10.45,0.0,0,0,41.8
Combination de Dos,9.0,0.0,89.55,0.0,-0.0,89.55,12.04,9.95,0.0,1,0,89.55
Combination de Dos,6.0,0.0,61.7,0.0,-0.0,61.7,1.68,10.28,0.0,6,0,61.7
Combination de Dos,5.0,0.0,49.75,0.0,-0.0,49.75,1.65,9.95,0.0,0,0,49.75
Combination de Dos,9.0,0.0,99.55,0.0,-0.0,99.55,11.67,11.06,0.0,2,0,99.55
Combination de Dos,3.0,0.0,29.85,0.0,-0.0,29.85,4.85,9.95,0.0,1,0,29.85
Combination de Dos,13.0,0.0,133.35,-0.99,-0.0,132.36,7.23,10.18,0.0,4,0,132.36
Combination de Dos,11.0,0.0,111.45,0.0,-0.0,111.45,3.63,10.13,0.0,5,1,111.45
Combination de Dos,3.0,0.0,31.85,0.0,-0.0,31.85,1.21,10.62,0.0,6,0,31.85
Combination de Dos,7.0,0.0,71.65,0.0,-0.0,71.65,2.24,10.24,0.0,6,0,71.65
Combination de Dos,7.0,0.0,75.65,0.0,-0.0,75.65,6.82,10.81,0.0,0,0,75.65
Combination de Dos,14.0,0.0,139.3,0.0,-0.0,139.3,8.07,9.95,0.0,5,1,139.3
Combination de Dos,2.0,0.0,19.9,0.0,-0.0,19.9,1.2,9.95,0.0,6,0,19.9
Combination de Dos,3.0,0.0,29.85,0.0,-0.0,29.85,7.77,9.95,0.0,0,0,29.85
Combination de Dos,3.0,0.0,29.85,0.0,-0.0,29.85,6.19,9.95,0.0,1,0,29.85
Combination de Dos,2.0,0.0,19.9,0.0,-0.0,19.9,3.21,9.95,0.0,1,0,19.9
Combination de Dos,2.0,0.0,19.9,0.0,-0.0,19.9,4.39,9.95,0.0,2,0,19.9
Combination de Dos,4.0,0.0,41.8,0.0,-0.0,41.8,11.61,10.45,0.0,2,0,41.8
Combination de Dos,10.0,0.0,99.5,0.0,-0.0,99.5,5.3,9.95,0.0,1,0,99.5
Combination de Dos,11.0,0.0,111.45,-9.95,-0.0,101.5,10.53,9.23,0.0,3,0,101.5
Combination de Dos,4.0,0.0,43.8,-21.9,-0.0,21.9,18.92,5.48,0.0,2,0,21.9
Combination de Dos,8.0,0.0,81.6,0.0,-0.0,81.6,8.95,10.2,0.0,3,0,81.6
Combination de Dos,4.0,0.0,39.8,0.0,-0.0,39.8,9.91,9.95,0.0,2,0,39.8
Combination de Dos,7.0,0.0,69.65,0.0,-0.0,69.65,7.05,9.95,0.0,3,0,69.65
Combination de Dos,10.0,0.0,101.5,-0.99,-0.0,100.51,3.18,10.05,0.0,4,0,100.51
Combination de Dos,12.0,0.0,125.4,0.0,-0.0,125.4,2.39,10.45,0.0,4,0,125.4
Combination de Dos,10.0,0.0,103.5,0.0,-0.0,103.5,6.41,10.35,0.0,5,1,103.5
Combination de Dos,6.0,0.0,61.7,0.0,-0.0,61.7,1.75,10.28,0.0,6,0,61.7
Combination de Dos,6.0,0.0,59.7,0.0,-0.0,59.7,5.5,9.95,0.0,5,1,59.7
Combination de Dos,6.0,0.0,59.7,0.0,-0.0,59.7,14.49,9.95,0.0,0,0,59.7
Combination de Dos,8.0,0.0,79.6,0.0,-0.0,79.6,3.85,9.95,0.0,6,0,79.6
Combination de Dos,4.0,0.0,39.8,0.0,-0.0,39.8,8.39,9.95,0.0,0,0,39.8
Combination de Dos,4.0,0.0,39.8,-10.56,-0.0,29.24,4.83,7.31,0.0,1,0,29.24
Combination de Dos,3.0,0.0,29.85,0.0,-0.0,29.85,5.55,9.95,0.0,0,0,29.85
Combination de Dos,2.0,0.0,19.9,0.0,-0.0,19.9,1.71,9.95,0.0,1,0,19.9
Combination de Dos,8.0,0.0,79.6,0.0,-0.0,79.6,3.99,9.95,0.0,4,0,79.6
Combination de Dos,3.0,0.0,29.85,0.0,-0.0,29.85,3.98,9.95,0.0,3,0,29.85
Combination de Dos,15.0,0.0,157.25,0.0,-0.0,157.25,7.91,10.48,0.0,5,1,157.25
Combination de Dos,4.0,0.0,39.8,0.0,-0.0,39.8,4.88,9.95,0.0,0,0,39.8
Combination de Dos,13.0,0.0,139.35,0.0,-0.0,139.35,4.7,10.72,0.0,6,0,139.35
Combination de Dos,11.0,0.0,117.45,0.0,-0.0,117.45,8.62,10.68,0.0,5,1,117.45
Combination de Dos,15.0,0.0,151.25,0.0,-0.0,151.25,5.48,10.08,0.0,4,0,151.25
Combination de Dos,12.0,0.0,125.4,0.0,-0.0,125.4,3.22,10.45,0.0,6,0,125.4
Combination de Dos,13.0,0.0,141.35,0.0,-0.0,141.35,10.13,10.87,0.0,5,1,141.35
Combination de Dos,6.0,0.0,59.7,0.0,-0.0,59.7,7.41,9.95,0.0,4,0,59.7
Combination de Dos,2.0,0.0,19.9,0.0,-0.0,19.9,6.04,9.95,0.0,3,0,19.9
Combination de Dos,4.0,0.0,43.8,0.0,-0.0,43.8,6.52,10.95,0.0,3,0,43.8
Combination de Dos,4.0,0.0,39.8,0.0,-0.0,39.8,11.89,9.95,0.0,2,0,39.8
Combination de Dos,10.0,0.0,105.5,0.0,-0.0,105.5,12.06,10.55,0.0,1,0,105.5
Combination de Dos,3.0,0.0,33.85,0.0,-0.0,33.85,6.03,11.28,0.0,2,0,33.85
Combination de Dos,9.0,0.0,91.55,0.0,-0.0,91.55,5.87,10.17,0.0,0,0,91.55
Combination de Dos,1.0,0.0,9.95,0.0,-0.0,9.95,1.96,9.95,0.0,1,0,9.95
Combination de Dos,3.0,0.0,29.85,0.0,-0.0,29.85,5.01,9.95,0.0,0,0,29.85
Combination de Dos,7.0,0.0,79.65,0.0,-0.0,79.65,2.71,11.38,0.0,6,0,79.65
Combination de Dos,2.0,0.0,21.9,0.0,-0.0,21.9,5.53,10.95,0.0,0,0,21.9
Combination de Dos,9.0,0.0,97.55,0.0,-0.0,97.55,3.35,10.84,0.0,6,0,97.55
Combination de Dos,7.0,0.0,71.65,0.0,-0.0,71.65,4.98,10.24,0.0,6,0,71.65
Combination de Dos,7.0,0.0,71.65,0.0,-0.0,71.65,4.12,10.24,0.0,5,1,71.65
Combination de Dos,13.0,0.0,131.35,0.0,-0.0,131.35,10.85,10.1,0.0,5,1,131.35
Combination de Dos,6.0,0.0,67.7,0.0,-0.0,67.7,3.3,11.28,0.0,6,0,67.7
Combination de Dos,2.0,0.0,19.9,0.0,-0.0,19.9,2.66,9.95,0.0,3,0,19.9
Combination de Dos,6.0,0.0,63.7,0.0,-0.0,63.7,1.16,10.62,0.0,4,0,63.7
Combination de Dos,8.0,0.0,85.6,0.0,-0.0,85.6,8.65,10.7,0.0,3,0,85.6
Combination de Dos,3.0,0.0,29.85,0.0,-0.0,29.85,4.7,9.95,0.0,2,0,29.85
Combination de Dos,5.0,0.0,49.75,0.0,-0.0,49.75,8.1,9.95,0.0,2,0,49.75
Combination de Dos,13.0,0.0,135.35,0.0,-0.0,135.35,11.61,10.41,0.0,1,0,135.35
Combination de Dos,12.0,0.0,119.4,-5.66,-0.0,113.74,7.3,9.48,0.0,4,0,113.74
Combination de Dos,3.0,0.0,35.85,0.0,-0.0,35.85,5.71,11.95,0.0,3,0,35.85
Combination de Dos,1.0,0.0,11.95,0.0,-0.0,11.95,1.41,11.95,0.0,2,0,11.95
Combination de Dos,6.0,0.0,61.7,0.0,-0.0,61.7,10.87,10.28,0.0,1,0,61.7
Combination de Dos,8.0,0.0,79.6,0.0,-0.0,79.6,5.67,9.95,0.0,0,0,79.6
Combination de Dos,6.0,0.0,59.7,0.0,-0.0,59.7,3.86,9.95,0.0,4,0,59.7
Combination de Dos,5.0,0.0,49.75,0.0,-0.0,49.75,4.13,9.95,0.0,5,1,49.75
Combination de Dos,10.0,0.0,99.5,0.0,-0.0,99.5,3.72,9.95,0.0,4,0,99.5
Combination de Dos,12.0,0.0,121.4,0.0,-0.0,121.4,6.22,10.12,0.0,5,1,121.4
Combination de Dos,12.0,0.0,121.4,-9.95,-0.0,111.45,6.27,9.29,0.0,4,0,111.45
Combination de Dos,12.0,0.0,121.4,0.0,-0.0,121.4,2.5,10.12,0.0,5,1,121.4
Combination de Dos,12.0,0.0,129.4,0.0,-0.0,129.4,7.69,10.78,0.0,5,1,129.4
Combination de Dos,2.0,0.0,21.9,0.0,-0.0,21.9,0.61,10.95,0.0,6,0,21.9
Combination de Dos,7.0,0.0,71.65,0.0,-0.0,71.65,10.89,10.24,0.0,3,0,71.65
Combination de Dos,1.0,0.0,9.95,0.0,-0.0,9.95,3.41,9.95,0.0,2,0,9.95
Combination de Dos,5.0,0.0,55.75,0.0,-0.0,55.75,3.31,11.15,0.0,4,0,55.75
Combination de Dos,3.0,0.0,29.85,0.0,-0.0,29.85,11.07,9.95,0.0,3,0,29.85
Combination de Dos,3.0,0.0,29.85,0.0,-0.0,29.85,3.81,9.95,0.0,0,0,29.85
Combination de Dos,3.0,0.0,31.85,0.0,-0.0,31.85,1.6,10.62,0.0,1,0,31.85
Combination de Dos,3.0,0.0,29.85,0.0,-0.0,29.85,4.16,9.95,0.0,1,0,29.85
Combination de Dos,1.0,0.0,9.95,0.0,-0.0,9.95,3.16,9.95,0.0,2,0,9.95
Combination de Dos,2.0,0.0,19.9,0.0,-0.0,19.9,2.12,9.95,0.0,1,0,19.9
Combination de Dos,5.0,0.0,49.75,0.0,-0.0,49.75,14.0,9.95,0.0,2,0,49.75
Combination de Dos,10.0,0.0,103.5,0.0,-0.0,103.5,9.25,10.35,0.0,5,1,103.5
Combination de Dos,1.0,0.0,9.95,0.0,-0.0,9.95,1.07,9.95,0.0,1,0,9.95
Combination de Dos,3.0,0.0,33.85,0.0,-0.0,33.85,5.59,11.28,0.0,0,0,33.85
Combination de Dos,8.0,0.0,81.6,0.0,-0.0,81.6,7.35,10.2,0.0,5,1,81.6
Combination de Dos,1.0,0.0,9.95,0.0,-0.0,9.95,0.34,9.95,0.0,6,0,9.95
Combination de Dos,8.0,0.0,85.6,0.0,-0.0,85.6,5.44,10.7,0.0,4,0,85.6
Combination de Dos,10.0,0.0,105.5,0.0,-0.0,105.5,7.9,10.55,0.0,5,1,105.5
Combination de Dos,10.0,0.0,99.5,0.0,-0.0,99.5,5.6,9.95,0.0,4,0,99.5
Combination de Dos,6.0,0.0,59.7,0.0,-0.0,59.7,10.03,9.95,0.0,2,0,59.7
Combination de Dos,7.0,0.0,69.65,0.0,-0.0,69.65,8.32,9.95,0.0,3,0,69.65
Combination de Dos,2.0,0.0,19.9,0.0,-0.0,19.9,2.83,9.95,0.0,0,0,19.9
Combination de Dos,5.0,0.0,49.75,0.0,-0.0,49.75,1.28,9.95,0.0,6,0,49.75
Combination de Dos,3.0,0.0,33.85,0.0,-0.0,33.85,6.27,11.28,0.0,0,0,33.85
Combination de Dos,7.0,0.0,75.65,-3.25,-0.0,72.4,1.64,10.34,0.0,6,0,72.4
